,ingr_name
Копчености,1
Шнитт-лук,1
Толченые сухари,1
Черствый белый хлеб,1
Душица,1
Дорада,1
Геркулес,1
Мини цукини ,1
Зелень сельдерея,1
Варено-копченая ветчина,1
Портвейн,1
Панчетта,1
Рыбные консервы,1
Ягодный сироп,1
Жирное молоко,1
"Молоко 3,5%-ное",1
Цукаты,1
Темный изюм,1
Отруби,1
Мадера,1
Коричневый соус HP,1
Фасоль в томатном соусе,1
Кровяная колбаса,1
Желтый карри порошок ,1
Мини кальмары ,1
Крупные помидоры черри ,1
Телячий язык,1
Розовый перец,1
Квашеная капуста,1
Карри-порошок,1
Голубой сыр,1
"Кефир 2,5%-ый",1
Филе баранины,1
Мандарины,1
Молодая морковь,1
Куриная голень,1
Копченый сыр сулугуни,1
Легкий сыр «Ламбер»  15%-ной жирности,1
Филе сельди,1
Красная смородина,1
Мягкий козий сыр,1
Яблочный сок,1
Устричный соус,1
Говяжье филе,1
Свежий перец,1
Шоколадный ликер,1
