id_recipe,qty_string,unit,qty,id_ingr,id
460,по вкусу,6,0.0,22,4052
460,по вкусу,6,0.0,21,4053
461,2 штуки,1,2.0,1,4054
461,2 штуки,1,2.0,122,4055
461,100 г,0,100.0,15,4056
461,½ чайные ложки,4,0.5,21,4057
461,150 г,0,150.0,3,4058
461,2 чайные ложки,4,2.0,7,4059
461,220 г,0,220.0,2,4060
462,2 штуки,1,2.0,158,4061
462,2 штуки,1,2.0,40,4062
462,по вкусу,6,0.0,22,4063
462,200 г,0,200.0,596,4064
462,1 пучок,10,1.0,43,4065
462,2 зубчика,5,2.0,17,4066
462,150 г,0,150.0,66,4067
463,680 г,0,680.0,183,4068
463,2 столовые ложки,2,2.0,2,4069
463,1 стакан,3,1.0,369,4070
463,60 г,0,60.0,51,4071
463,1 столовая ложка,2,1.0,6,4072
463,6 штук,1,6.0,90,4073
463,2 штуки,1,2.0,14,4074
463,2 штуки,1,2.0,97,4075
463,щепотка,12,0.0,22,4076
464,1 штука,1,1.0,133,4077
464,по вкусу,6,0.0,22,4078
464,1 чайная ложка,4,1.0,77,4079
464,по вкусу,6,0.0,21,4080
464,1 столовая ложка,2,1.0,13,4081
464,½ головки,8,0.5,51,4082
464,6 кусков,9,6.0,39,4083
465,350 г,0,350.0,173,4084
465,1 штука,1,1.0,137,4085
465,80 г,0,80.0,281,4086
465,½ головки,8,0.5,51,4087
465,½ штуки,1,0.5,197,4088
465,½ штуки,1,0.5,166,4089
465,7 г,0,7.0,44,4090
465,2 штуки,1,2.0,40,4091
465,1 зубчик,5,1.0,17,4092
465,½ штуки,1,0.5,19,4093
465,40 мл,7,40.0,13,4094
465,2 стебля,15,2.0,48,4095
465,4 стебля,15,4.0,144,4096
465,4 штуки,1,4.0,385,4097
465,по вкусу,6,0.0,21,4098
465,по вкусу,6,0.0,22,4099
466,500 мл,7,500.0,28,4100
466,"1,2 кг",14,1.2,2,4101
466,200 г,0,200.0,15,4102
466,11 г,0,11.0,56,4103
466,6 штук,1,6.0,1,4104
466,250 г,0,250.0,3,4105
466,300 г,0,300.0,259,4106
466,1 чайная ложка,4,1.0,253,4107
466,по вкусу,6,0.0,597,4108
467,3 штуки,1,3.0,411,4109
467,4 штуки,1,4.0,164,4110
467,4 штуки,1,4.0,1,4111
467,300 г,0,300.0,65,4112
467,200 г,0,200.0,66,4113
467,по вкусу,6,0.0,43,4114
468,350 г,0,350.0,58,4115
468,2 штуки,1,2.0,51,4116
468,400 г,0,400.0,108,4117
468,200 г,0,200.0,351,4118
468,1 штука,1,1.0,197,4119
468,200 мл,7,200.0,598,4120
468,100 г,0,100.0,55,4121
468,1200 мл,7,1200.0,60,4122
468,30 мл,7,30.0,13,4123
468,1 чайная ложка,4,1.0,21,4124
468,на кончике ножа,16,0.0,62,4125
468,¼ чайные ложки,4,0.25,22,4126
469,4 штуки,1,4.0,1,4127
469,2 зубчика,5,2.0,17,4128
469,400 г,0,400.0,161,4129
469,1 столовая ложка,2,1.0,15,4130
469,по вкусу,6,0.0,66,4131
470,1 стакан,3,1.0,2,4132
470,500 мл,7,500.0,599,4133
470,2 штуки,1,2.0,1,4134
470,по вкусу,6,0.0,21,4135
470,по вкусу,6,0.0,3,4136
470,½ чайные ложки,4,0.5,83,4137
471,500 г,0,500.0,23,4138
471,25 г,0,25.0,15,4139
471,210 мл,7,210.0,70,4140
471,по вкусу,6,0.0,119,4141
472,2 штуки,1,2.0,241,4142
472,500 г,0,500.0,497,4143
472,½ стакана,3,0.5,67,4144
472,2 головки,8,2.0,51,4145
472,по вкусу,6,0.0,21,4146
472,по вкусу,6,0.0,22,4147
472,3 столовые ложки,2,3.0,184,4148
472,3 столовые ложки,2,3.0,6,4149
473,100 г,0,100.0,33,4150
473,4 штуки,1,4.0,90,4151
473,2 штуки,1,2.0,14,4152
473,2 штуки,1,2.0,600,4153
473,200 г,0,200.0,482,4154
473,1 штука,1,1.0,97,4155
473,1 головка,8,1.0,51,4156
473,30 мл,7,30.0,13,4157
473,по вкусу,6,0.0,55,4158
473,по вкусу,6,0.0,45,4159
473,1 штука,1,1.0,92,4160
473,по вкусу,6,0.0,21,4161
473,по вкусу,6,0.0,22,4162
474,3 зубчика,5,3.0,17,4163
474,200 г,0,200.0,259,4164
474,1 чайная ложка,4,1.0,98,4165
474,1 головка,8,1.0,51,4166
474,2 штуки,1,2.0,14,4167
474,1 столовая ложка,2,1.0,13,4168
474,1 стакан,3,1.0,68,4169
474,4 штуки,1,4.0,40,4170
474,140 г,0,140.0,284,4171
474,25 г,0,25.0,50,4172
474,2 стакана,3,2.0,94,4173
474,1 чайная ложка,4,1.0,21,4174
474,400 г,0,400.0,61,4175
474,2 столовые ложки,2,2.0,293,4176
474,2 штуки,1,2.0,142,4177
474,1 столовая ложка,2,1.0,230,4178
475,1 штука,1,1.0,200,4179
475,100 мл,7,100.0,567,4180
475,4 чайные ложки,4,4.0,116,4181
475,1 пучок,10,1.0,144,4182
475,50 мл,7,50.0,4,4183
475,50 мл,7,50.0,13,4184
475,2 столовые ложки,2,2.0,178,4185
475,2 штуки,1,2.0,92,4186
475,500 г,0,500.0,298,4187
475,5 зубчиков,5,5.0,17,4188
475,1 головка,8,1.0,455,4189
475,50 г,0,50.0,135,4190
475,4 штуки,1,4.0,338,4191
476,"1,5 чайных ложек",4,1.5,7,4192
476,4 штуки,1,4.0,601,4193
476,200 г,0,200.0,2,4194
476,150 г,0,150.0,3,4195
476,150 мл,7,150.0,28,4196
476,80 г,0,80.0,15,4197
476,100 г,0,100.0,304,4198
476,2 штуки,1,2.0,1,4199
477,1 штука,1,1.0,1,4200
477,1 стакан,3,1.0,2,4201
477,2 чайные ложки,4,2.0,7,4202
477,1 стакан,3,1.0,28,4203
477,по вкусу,6,0.0,21,4204
477,200 г,0,200.0,190,4205
477,по вкусу,6,0.0,602,4206
477,по вкусу,6,0.0,245,4207
478,50 мл,7,50.0,59,4208
478,200 г,0,200.0,587,4209
478,20 мл,7,20.0,13,4210
478,20 г,0,20.0,15,4211
478,200 г,0,200.0,40,4212
478,10 г,0,10.0,17,4213
478,5 г,0,5.0,347,4214
478,5 г,0,5.0,45,4215
478,5 г,0,5.0,48,4216
478,30 г,0,30.0,19,4217
478,1 г,0,1.0,272,4218
478,2 г,0,2.0,100,4219
479,1 штука,1,1.0,51,4220
479,300 г,0,300.0,26,4221
479,2 зубчика,5,2.0,17,4222
479,100 г,0,100.0,14,4223
479,3 столовые ложки,2,3.0,6,4224
479,150 г,0,150.0,355,4225
479,2 столовые ложки,2,2.0,184,4226
480,4 штуки,1,4.0,1,4227
480,750 г,0,750.0,603,4228
480,4 столовые ложки,2,4.0,287,4229
480,1 стакан,3,1.0,28,4230
480,4 столовые ложки,2,4.0,3,4231
480,2 г,0,2.0,121,4232
481,1 стакан,3,1.0,287,4233
481,1 стакан,3,1.0,81,4234
481,1 стакан,3,1.0,3,4235
481,3 штуки,1,3.0,1,4236
481,½ чайные ложки,4,0.5,83,4237
482,60 г,0,60.0,51,4238
482,150 г,0,150.0,290,4239
482,30 г,0,30.0,306,4240
482,360 г,0,360.0,604,4241
482,3 столовые ложки,2,3.0,374,4242
482,1 столовая ложка,2,1.0,178,4243
482,60 мл,7,60.0,6,4244
482,4 штуки,1,4.0,1,4245
482,2 столовые ложки,2,2.0,117,4246
482,по вкусу,6,0.0,45,4247
482,по вкусу,6,0.0,21,4248
483,200 г,0,200.0,334,4249
483,50 г,0,50.0,605,4250
483,100 г,0,100.0,471,4251
483,20 г,0,20.0,606,4252
483,20 мл,7,20.0,13,4253
483,20 г,0,20.0,330,4254
483,по вкусу,6,0.0,21,4255
483,по вкусу,6,0.0,22,4256
484,2 штуки,1,2.0,149,4257
484,2 штуки,1,2.0,166,4258
484,2 штуки,1,2.0,167,4259
484,8 зубчиков,5,8.0,17,4260
484,2 головки,8,2.0,51,4261
484,4 штуки,1,4.0,158,4262
484,2 штуки,1,2.0,152,4263
484,6 штук,1,6.0,40,4264
484,1 штука,1,1.0,173,4265
484,50 г,0,50.0,45,4266
484,2 стебля,15,2.0,48,4267
484,1 штука,1,1.0,92,4268
484,100 мл,7,100.0,13,4269
484,по вкусу,6,0.0,21,4270
484,2 столовые ложки,2,2.0,145,4271
484,по вкусу,6,0.0,22,4272
485,2 стакана,3,2.0,81,4273
485,2 стакана,3,2.0,2,4274
485,2 штуки,1,2.0,1,4275
485,½ чайные ложки,4,0.5,83,4276
485,3 столовые ложки,2,3.0,6,4277
485,1 стакан,3,1.0,255,4278
486,550 г,0,550.0,2,4279
486,400 мл,7,400.0,342,4280
486,45 г,0,45.0,15,4281
486,5 г,0,5.0,56,4282
486,10 г,0,10.0,3,4283
